feature,importance
Hour,0.2330875124248121
DayOfWeek,0.21842430663780843
Ward,0.18466453806144256
Beat,0.18133556865236528
Month,0.17647974467495106
Latitude,0.16926367656172694
Longitude,0.15927811703859085
ID,0.15843924324447375
District,0.15420212545984127
Temporal_Cluster,0.12794230132324264
