,0
Temporal_Cluster,0.7057885991516455
Month,0.6678415081019946
Hour,0.2251785219004607
DayOfWeek,0.04527013457716082
Longitude,0.031209464910320922
Latitude,0.027790671605185613
Ward,0.02406671240308507
ID,0.02104197489717762
District,0.013906488325130488
Beat,0.011563202603208436
