UMAP_1,UMAP_2
0.58314973,0.08214778
10.164302,1.0281934
3.3109872,3.827915
11.219171,1.2947015
10.333698,1.1413553
0.5984945,0.3467763
6.2003083,4.5045247
10.557356,0.79369944
0.5018099,0.87526786
-0.585696,2.261214
10.811541,1.5805929
2.5946548,3.998046
11.074176,0.79396534
6.6222186,3.7598805
1.1412551,0.69952565
0.7058218,0.6938185
3.6920865,3.7538366
6.9513106,3.2828956
6.6984005,4.180491
10.498597,0.76855475
-0.13943756,1.1095264
6.47172,4.3992133
6.428064,4.264902
3.8962708,3.7441163
10.621456,1.2680768
-0.26691124,1.764787
11.063218,2.4029472
10.329358,1.9191778
6.4944553,4.6546235
3.3779354,4.10325
10.6366005,0.57318515
7.4360223,4.31939
-0.03444773,1.6301346
7.0949497,3.7792075
11.06572,1.6729594
1.8286166,3.8083935
10.64471,1.095679
3.3875318,4.590926
10.38189,1.8473707
7.730245,3.1343076
10.703683,1.1208818
2.53047,3.7008488
6.4768076,4.0004473
0.15495662,1.285205
6.5997148,4.0688667
11.291272,0.35814133
10.04512,2.2263594
3.2711043,3.500979
7.217833,3.1708896
10.163724,2.5350554
10.433604,1.0914704
10.153476,1.0359462
11.017627,0.9996622
6.2621136,4.0179796
1.7911283,3.348726
0.54329705,0.44342214
0.4115653,1.8723953
2.4369779,4.3196282
0.75082105,1.0974755
2.952409,3.4379215
6.7394195,3.4815905
0.33345827,0.85699284
10.937242,0.3729896
7.4495387,3.2206776
0.3482802,2.3049586
0.8925818,0.6782429
0.17974594,2.3892
10.504774,0.70709544
-0.3055184,1.4890174
10.941575,1.092975
7.179025,3.88528
6.389186,4.2002635
10.677825,0.23570175
2.8427138,4.3518705
10.596593,1.94724
10.966602,1.1917751
10.675996,1.824438
3.765575,4.1871724
10.383265,0.9812298
0.9300526,0.49546385
10.595517,1.5144504
0.059562758,1.2614571
10.12911,1.0117766
6.7427263,3.9760787
0.97359174,0.41731155
4.258689,4.7294908
2.4076524,3.558187
10.809626,0.4928614
0.10288032,0.43428338
10.87617,1.1785151
3.7671726,3.6528518
0.34927073,0.99204034
10.3278885,1.1365081
10.019298,2.1375196
3.3347065,4.4033794
4.2028813,4.704038
10.600618,2.0068526
7.792817,3.8177867
10.259572,1.8272845
10.671921,1.7577486
2.9456375,3.6710572
10.370381,1.9864541
-0.16799432,1.9466866
10.713952,1.1551886
3.4083345,4.3221827
3.1139927,4.6690955
7.273813,4.5487194
6.5719438,4.69727
0.09230097,2.1661906
10.396221,1.3487288
0.74028856,1.3075752
0.5979203,0.21632195
3.4456925,4.6293736
1.8855566,3.906777
0.3975644,1.6126245
10.259537,0.5993521
2.1452892,3.0202637
0.026224405,1.3339695
0.63375664,2.515022
8.13046,3.4031434
0.9602832,0.9816366
1.1511621,0.857079
7.2323847,3.0219684
3.683284,3.89687
2.644615,3.8720984
3.9063869,3.6629245
0.04990783,1.1905832
0.7224439,1.8970668
6.909631,3.9982595
7.7114477,3.945487
11.220538,2.0095444
10.383106,1.6646812
3.5202951,4.6038327
0.17970376,0.23546895
10.804235,0.8604013
